"name_who","name_chinese","name_english"
"LU-1","中府","Central Authority"
"LU-2","雲門","Cloud Gate"
"LU-3","天府","Heaven's Authority"
"LU-4","俠白","Purely Doing as One Likes"
"LU-5","尺澤","Cubit Marsh"
"LU-6","孔最","Greatest Hole"
"LU-7","列缺","Wedge Gap"
"LU-8","經渠","Lengthwise Gutter"
"LU-9","太淵","Largest Depth"
"LU-10","魚際","Fishing Side"
"LU-11","少商","Littlest Exchange"
"LI-1","商陽","Yang Exchanges"
"LI-2","二間","Second Space"
"LI-3","三間","Third Space"
"LI-4","合谷","Closed Valley"
"LI-5","陽谿","Yang Valley Stream"
"LI-6","偏歴","Veering Passage"
"LI-7","溫溜","Warm Drops"
"LI-8","下廉","Lower One at the Angle"
"LI-9","上廉","Upper One at the Angle"
"LI-10","手三里","Hand's Three Quarter Miles"
"LI-11","曲池","Pond at the Bend"
"LI-12","肘髎","Elbow Bone Notch"
"LI-13","手五里","Hand's Five Quarter Miles"
"LI-14","臂臑","Upper Arm"
"LI-15","肩髃","Shoulder Bone"
"LI-16","巨骨","Big Bones"
"LI-17","天鼎","Heaven's Tripod"
"LI-18","扶突","Aiding the Chimney"
"LI-19","口禾髎","Taste's Grain-like Bone Notch"
"LI-20","迎香","Welcoming Fragrance"
"ST-1","承泣","Accept the Tears"
"ST-2","四白","Four Whites"
"ST-3","巨髎","Large Bone Notch"
"ST-4","地倉","Land's Granary"
"ST-5","大迎","Big Welcome"
"ST-6","頰車","Jaw Wheel"
"ST-7","下關","Underneath the Joint"
"ST-8","頭維","Corner of the Hair"
"ST-9","人迎","Welcoming Others"
"ST-10","水突","Fluids Chimney"
"ST-11","氣舍","Qi Lodge"
"ST-12","缺盆","Empty Basin"
"ST-13","氣戶","Qi Door"
"ST-14","庫房","Store Room"
"ST-15","屋翳","Room Screen"
"ST-16","膺窗","Chest Window"
"ST-17","乳中","Center of the Nipple"
"ST-18","乳根","Base of the Breasts"
"ST-19","不容","Not Accepted"
"ST-20","承滿","Receiving Enough"
"ST-21","梁門","Gate Beam"
"ST-22","關門","Barrier Gate"
"ST-23","太乙","Greatest Oneness"
"ST-24","滑肉門","Supple Flesh Gate"
"ST-25","天樞","Heaven's Pivot"
"ST-26","外陵","Outside the High Mound"
"ST-27","大巨","Very Rough"
"ST-28","水道","Fluid Passage"
"ST-29","歸來","Arriving Home"
"ST-30","氣沖","Qi Infusion"
"ST-31","髀關","Thigh Joint"
"ST-32","伏兔","Prostrating Hare"
"ST-33","陰市","Yin at the Market"
"ST-34","梁丘","Beam to the Mound"
"ST-35","犢鼻","Calf's Nose"
"ST-36","足三里","Leg's Three Quarter Miles"
"ST-37","上巨虛","At the Top of the Big Hollow"
"ST-38","條口","Long Narrow Opening"
"ST-39","下巨虛","At the Bottom of the Big Hollow"
"ST-40","豐隆","Ample Enrichment"
"ST-41","解谿","Melting Valley Stream"
"ST-42","沖陽","Infusing Yang"
"ST-43","陷谷","Trapped in the Valley"
"ST-44","內庭","Inner Courtyard"
"ST-45","厲兌","Dangerous Exchange"
"SP-1","隱白","Hidden Purity"
"SP-2","大都","Big City"
"SP-3","太白","Greatest Purity"
"SP-4","公孫","Going Along Fairly"
"SP-5","商丘","Deliberation Mound"
"SP-6","三陰交","Three Yin in Interaction"
"SP-7","漏谷","Leaking Valley"
"SP-8","地機","Ground Pivot"
"SP-9","陰陵泉","Yin Mound Spring"
"SP-10","血海","Sea of Blood"
"SP-11","箕門","Winnowing Gate"
"SP-12","沖門","Rinsing the Gate"
"SP-13","府舍","Official Building's Lodge"
"SP-14","腹結","Belly Knot"
"SP-15","大横","Wide Horizontally"
"SP-16","腹哀","Belly Lament"
"SP-17","食竇","Feeding Opening"
"SP-18","天谿","Heavenly Valley Stream"
"SP-19","胸鄉","Countryside of the Chest"
"SP-20","周榮","Flourishing All-Around"
"SP-21","大包","Big Embrace"
"HT-1","極泉","Highest Source"
"HT-2","青靈","Blue-Green Spirit"
"HT-3","少海","Smallest Sea"
"HT-4","靈道","Spirit's Path"
"HT-5","通里","Passing Through the Village"
"HT-6","陰郄","Yin Cleft"
"HT-7","神門","Gate to the Heart"
"HT-8","少府","Smallest Authority"
"HT-9","少沖","Smallest Infusion"
"SI-1","少澤","Smallest Marsh"
"SI-2","前谷","In Front of the Valley"
"SI-3","後谿","Behind the Valley Stream"
"SI-4","腕骨","Wrist Bones"
"SI-5","陽谷","Yang Valley"
"SI-6","養老","Nurture the Old"
"SI-7","支正","Support the Upright"
"SI-8","小海","Little Sea"
"SI-9","肩貞","Persistent Shouldering"
"SI-10","臑兪","Upper Arm Increase"
"SI-11","天宗","Heavenly Ancestor"
"SI-12","秉風","Handling Wind"
"SI-13","曲垣","Fence at the Curve"
"SI-14","肩外兪","Side of the Shoulder Increase"
"SI-15","肩中兪","Between the Shoulders Increase"
"SI-16","天窗","Window to Heaven"
"SI-17","天容","Heaven's Container"
"SI-18","顴髎","Cheekbone Notch"
"SI-19","聽宮","Hearing Palace"
"BL-1","睛明","Brightening the Eyes"
"BL-2","攢竹","Gathered Bamboo"
"BL-3","眉衝","Eyebrow Thoroughfare"
"BL-4","曲差","Uneven Curve"
